443:	learn: 0.6701150	total: 5.96s	remaining: 20.9s
444:	learn: 0.6698997	total: 5.98s	remaining: 20.9s
445:	learn: 0.6697764	total: 5.99s	remaining: 20.9s
446:	learn: 0.6696207	total: 6s	remaining: 20.9s
447:	learn: 0.6694145	total: 6.02s	remaining: 20.8s
448:	learn: 0.6692049	total: 6.03s	remaining: 20.8s
449:	learn: 0.6690251	total: 6.04s	remaining: 20.8s
450:	learn: 0.6689070	total: 6.06s	remaining: 20.8s
451:	learn: 0.6687362	total: 6.07s	remaining: 20.8s
452:	learn: 0.6684592	total: 6.09s	remaining: 20.8s
453:	learn: 0.6683342	total: 6.1s	remaining: 20.8s
454:	learn: 0.6681549	total: 6.11s	remaining: 20.8s
455:	learn: 0.6678510	total: 6.13s	remaining: 20.7s
456:	learn: 0.6677392	total: 6.14s	remaining: 20.7s
